category,word
racist,Dune Coon
racist,Dune Nigger
racist,Durka-durka
racist,Dusty Nuts
racist,Ewok
racist,Fadi
racist,Fez
racist,Fig Gobbler
racist,Firecracker
racist,Fremen
racist,Gimmie
racist,Glass Nigger
racist,Goat Roper
racist,Grenade
racist,Habibi
racist,Hucka-lucka
racist,Hurammi
racist,Iraqi Pete
racist,Jacker
racist,Jawa
racist,Jig-Abdul
racist,Jihad
racist,Jihadi
racist,Land Torpedo
racist,Landya
racist,Lefty
racist,Mocha
racist,Moor
racist,Muhammad
racist,Muzzie
racist,Naffer
racist,Ocnod
racist,Oil Baron
racist,OPEC
racist,Osama
racist,P.L.O.
racist,Pajama Mamma
racist,Papa Ganoush
racist,Peanut Butter Brother
racist,Pube Face
racist,Q-Tip Head
racist,Rab
racist,Racoon
racist,Rag-head
racist,Raq-Coon
racist,Roach-Rancher
racist,Rock-Chucker
racist,Roman Candle
racist,Rug Merchant
racist,Rug Pilot
racist,Rug-Rider
racist,Sand Flea
racist,Sand Kisser
racist,Sand Monkey
racist,Sand Moolie
racist,Sand Nigger
racist,Sand Rat
racist,Sand Scratcher
racist,Sandies
racist,Sandy
racist,Sandy Crockett
racist,Shit Hand
racist,Sleeper Cell
racist,Slurpee
racist,Slurpee Nigger
racist,Slushee-Slinger
racist,Snake Charmer
racist,Snigger
racist,Stan
racist,Sun Goblin
racist,Sunarefa
racist,Terr-ab
racist,Terrorist
racist,Towel-head
racist,Towlie
racist,Turco
racist,Tuskan Raider
racist,Tusken Raider
racist,Urban Turban
racist,Zeb
racist,Zeppo
racist,Sherman
racist,Ararat
racist,Arm Pits
racist,Armo
racist,Glendale
racist,Ian
racist,Kabob
racist,Rabiz
racist,Stinkian
racist,Walking Carpet
racist,Oriental
racist,Slot Machine
racist,California Roll
racist,Azn
racist,Banana
racist,Bananame
racist,Bandwidth Nigger
racist,Bed Time
racist,Bruce Lee
racist,Bruised Banana
racist,Buddhahead
racist,Bug-Eater
racist,Bukkakese
racist,Burnt Rice
racist,Can'ardly
racist,Chap
racist,Chinaman
racist,Ching-Chong
racist,Chinina
racist,Chinkerbell
racist,Coin Slot
racist,Cook
racist,Coolie
racist,Data
racist,Dog-Eater
racist,Dog-Muncher
racist,DWO
racist,Egghead
racist,Eggroll
racist,Fingernail Rancher
racist,Fishhead
racist,Floss
racist,Gink
racist,Goldfish Monger
racist,Goloid
racist,Gookemon
racist,Grasshopper
racist,Grinder
racist,HAB
racist,Honky
racist,Ironing Board
racist,Japanigger
racist,Jaundy Boy
racist,Jin
racist,Junta
racist,Knees
racist,Lego
racist,Lemonhead
racist,Little Hiroshima
racist,Meat Pie
racist,Miyagi
racist,Mushu
racist,Ng
racist,Nikon
racist,Nine Iron
racist,Ninja
racist,Nuprin
racist,Oreo
racist,Ornamental
racist,P-1
racist,Pancake
racist,Panhead
racist,Patty
racist,Peeled Banana
racist,Pineapple Lump
racist,Ping-pang
racist,Pizdaglaz
racist,Plate Tossers
racist,Pointy-Head
racist,Post It
racist,Potato Queen
racist,Powerpoint
racist,Protractor
racist,Pumpkinhead
racist,Quarter Jockey
racist,Raisin
racist,Random
racist,Rangoon
racist,Rasian
racist,Rice Ball
